Student_ID,ResponseId,Child_Age_Under_18,Likely_Scientist_Post,Representation_Post,Grade,AP,Minority,SSI_Performance_Post,SSI_Competence_Post,SSI_Recognition_Post,SSI_Interest_Post
s1,R_7uSvadtZjOtc0FP,Yes,4,3,12th Grade (Senior),No,Yes,10,15,19,25
s2,R_7OO6Ekyb0O0YMwO,No,2,4,11th Grade (Junior),Yes,No,9,10,17,18
s3,R_12gErHyrM1RFBvj,Yes,5,1,11th Grade (Junior),Yes,Yes,15,18,12,12
s4,R_15QjibSova8QG4P,Yes,3,1,10th Grade (Sophomore),No,No,8,16,14,14
s5,R_7ONGu4fUOfcF04z,Yes,5,5,10th Grade (Sophomore),No,No,9,14,9,22
s6,R_5FK5MJzpInYJcPf,Yes,2,3,10th Grade (Sophomore),No,Yes,15,9,12,10
s7,R_5VPiHxBz1hYYNvH,Yes,3,5,10th Grade (Sophomore),No,No,13,15,17,10
s8,R_1qvIIougvtpL5Gm,Yes,5,3,11th Grade (Junior),Yes,Yes,10,9,20,16
s9,R_3E6Wpn6eZIbGjxI,No,4,3,10th Grade (Sophomore),Yes,No,8,17,20,21
s10,R_5o6KrL2maaSYz3l,Yes,2,4,10th Grade (Sophomore),No,Yes,13,16,14,24
s11,R_7uSvadtZjOtc0FP,Yes,2,3,12th Grade (Senior),No,Yes,8,17,11,13
s12,R_7OO6Ekyb0O0YMwO,No,2,1,11th Grade (Junior),No,No,9,18,12,13
s13,R_12gErHyrM1RFBvj,Yes,5,3,11th Grade (Junior),Yes,Yes,14,19,12,19
s14,R_15QjibSova8QG4P,No,2,5,10th Grade (Sophomore),No,No,8,9,9,24
s15,R_7ONGu4fUOfcF04z,Yes,4,1,10th Grade (Sophomore),No,Yes,11,16,15,23
s16,R_5FK5MJzpInYJcPf,No,4,5,10th Grade (Sophomore),Yes,No,9,9,16,23
s17,R_5VPiHxBz1hYYNvH,No,5,4,10th Grade (Sophomore),Yes,No,15,11,9,10
s18,R_1qvIIougvtpL5Gm,No,3,3,11th Grade (Junior),Yes,Yes,10,19,18,12
s19,R_3E6Wpn6eZIbGjxI,No,2,5,10th Grade (Sophomore),No,No,11,10,20,18
s20,R_5o6KrL2maaSYz3l,Yes,2,3,10th Grade (Sophomore),No,Yes,10,20,10,25
